ISBN,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780241251003,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,ePUB,16.99,16.99,241251001,2019-03-07,Penguin Books Ltd,288
9780007338672,Sharpe's Gold,Bernard Cornwell,ePUB,12.99,12.99,7338678,2009-07-24,HarperCollins Publishers,304
9781407033839,Blind Faith,Ben Elton,ePUB,15.99,15.99,1407033832,2008-09-04,Transworld,368
9781405917315,The David Raker Collection Books 1-3,Tim Weaver,ePUB,19.99,19.99,1405917318,2013-09-26,Penguin Books Ltd,1142
9781407059488,The Summons,John Grisham,ePUB,15.99,15.99,1407059483,2010-04-21,Random House,400
9780141970172,Quiet,Susan Cain,ePUB,14.99,14.99,141970170,2012-03-29,Penguin Books Ltd,352
9780755373208,Don't Tell (The Chicago Series Book 1),Karen Rose,ePUB,4.99,4.99,755373200,2009-12-10,Headline,300
9781370483051,Mist's Edge,T.A. White,ePUB,5.48,5.48,1370483058,2017-11-28,T.A. White,
9780141965550,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,ePUB,9.99,9.99,014196555X,2010-10-12,Penguin Random House Children's UK,576
9780748129331,The Night Watch,Sarah Waters,ePUB,11.99,11.99,748129332,2011-02-03,"Little, Brown Book Group",512
9780141959238,The Ship,C.S. Forester,ePUB,15.99,15.99,141959231,2006-10-05,Penguin Books Ltd,256
9780571248209,The Bell Jar,Sylvia Plath,ePUB,16.49,14.99,571248209,2008-11-20,Faber & Faber,240
9781405525978,Queen of Fire,Anthony Ryan,ePUB,12.99,12.99,1405525975,2015-07-02,"Little, Brown Book Group",656
9781407031088,Never Tell,Catherine McCall,ePUB,19.99,19.99,1407031082,2010-04-01,Ebury Publishing,288
9780748116072,Fool Moon : Dresden Files,Jim Butcher,ePUB,12.99,12.99,748116079,2010-03-04,"Little, Brown Book Group",400
9780753553084,The 7 Second CV,James Reed,ePUB,18.99,18.99,753553082,2019-01-03,Ebury Publishing,208
9781101539705,Your Money or Your Life,Vicki Robin,ePUB,22.29,17.99,1101539704,2008-12-10,Penguin Publishing Group,368
9780141909653,The Other Side of the Story,Marian Keyes,ePUB,15.99,15.99,014190965X,2005-03-10,Penguin Books Ltd,656
9780751562835,The Other Wife,Michael Robotham,ePUB,11.99,11.99,751562831,2018-06-26,"Little, Brown Book Group",400
